controller,pos_xy_rmse,pos_xy_max,pos_z_rmse,vel_rmse,yaw_rmse_deg,u_mean,u_max
pmp,0.000435,0.000821,0.000000,0.000350,0.0000,44.1459,44.1487
lqg,0.001454,0.003257,0.001265,0.017838,0.1407,44.4636,59.2861
mpc,0.008214,0.013167,0.000000,0.002528,0.0000,44.1458,44.1484
