controller,pos_xy_rmse,pos_xy_max,pos_z_rmse,vel_rmse,yaw_rmse_deg,u_mean,u_max
pmp,0.002239,0.006793,0.000000,0.004946,0.0001,44.1921,44.9843
lqg,0.002857,0.007083,0.001265,0.018581,0.1382,44.5113,59.5366
mpc,0.018622,0.022158,0.000000,0.011959,0.0005,44.1856,44.8448
