controller,pos_xy_rmse,pos_xy_max,pos_z_rmse,vel_rmse,yaw_rmse_deg,u_mean,u_max
pmp,0.003624,0.013005,0.000000,0.013477,0.0006,44.3677,52.9224
lqg,0.004023,0.012557,0.001265,0.022120,0.1422,44.6829,59.3963
mpc,0.017048,0.028014,0.000000,0.020300,0.0011,44.3236,50.9335
